64
# x y z
0.33	-0.53	-5.79
0.33	-0.53	-5.49
0.33	-0.53	-5.18
0.33	-0.53	-4.88
0.33	-0.53	-4.57
0.33	-0.53	-4.27
0.33	-0.53	-3.96
0.33	-0.53	-3.66
0.33	-0.53	-3.35
0.33	-0.53	-3.05
0.33	-0.53	-2.74
0.33	-0.53	-2.44
0.33	-0.53	-2.13
0.33	-0.53	-1.83
0.33	-0.53	-1.52
0.33	-0.53	-1.22
-0.65	-0.38	-5.79
-0.65	-0.38	-5.49
-0.65	-0.38	-5.18
-0.65	-0.38	-4.88
-0.65	-0.38	-4.57
-0.65	-0.38	-4.27
-0.65	-0.38	-3.96
-0.65	-0.38	-3.66
-0.65	-0.38	-3.35
-0.65	-0.38	-3.05
-0.65	-0.38	-2.74
-0.65	-0.38	-2.44
-0.65	-0.38	-2.13
-0.65	-0.38	-1.83
-0.65	-0.38	-1.52
-0.65	-0.38	-1.22
-0.24	0.53	-5.79
-0.24	0.53	-5.49
-0.24	0.53	-5.18
-0.24	0.53	-4.88
-0.24	0.53	-4.57
-0.24	0.53	-4.27
-0.24	0.53	-3.96
-0.24	0.53	-3.66
-0.24	0.53	-3.35
-0.24	0.53	-3.05
-0.24	0.53	-2.74
-0.24	0.53	-2.44
-0.24	0.53	-2.13
-0.24	0.53	-1.83
-0.24	0.53	-1.52
-0.24	0.53	-1.22
0.64	0.14	-5.79
0.64	0.14	-5.49
0.64	0.14	-5.18
0.64	0.14	-4.88
0.64	0.14	-4.57
0.64	0.14	-4.27
0.64	0.14	-3.96
0.64	0.14	-3.66
0.64	0.14	-3.35
0.64	0.14	-3.05
0.64	0.14	-2.74
0.64	0.14	-2.44
0.64	0.14	-2.13
0.64	0.14	-1.83
0.64	0.14	-1.52
0.64	0.14	-1.22
1878
# a b m n err i ip iperr k r rhoa u valid 
56	64	18	26	1.00002425388972e-01	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	4.51028000000000e+02	9.14145000000000e+00	4.12305000000000e+03	0.00000000000000e+00	1
49	57	17	25	1.00094905474148e-01	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.69495000000000e+01	6.21660000000000e+00	1.05368000000000e+02	0.00000000000000e+00	1
49	56	17	24	1.00116594416993e-01	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.89731000000000e+01	4.52048000000000e+00	8.57674000000000e+01	0.00000000000000e+00	1
49	55	17	23	1.00140748726928e-01	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.18593000000000e+01	3.25027000000000e+00	7.10486000000000e+01	0.00000000000000e+00	1
49	54	17	22	1.00197587066741e-01	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.66457000000000e+01	1.89939000000000e+00	5.06106000000000e+01	0.00000000000000e+00	1
49	53	17	21	1.00363961944139e-01	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.49543000000000e+01	7.86037000000000e-01	2.74754000000000e+01	0.00000000000000e+00	1
49	52	17	20	1.01236774245413e-01	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	5.32543000000000e+01	1.51829000000000e-01	8.08555000000000e+00	0.00000000000000e+00	1
49	51	17	19	1.04239857201609e-01	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.03323000000000e+02	2.28271000000000e-02	2.35857000000000e+00	0.00000000000000e+00	1
49	50	17	18	1.30313410349605e-01	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.87304000000000e+02	8.51752000000000e-04	3.29887000000000e-01	0.00000000000000e+00	1
55	63	18	26	1.00013641001577e-01	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	7.75381000000000e+01	9.45449000000000e+00	7.33084000000000e+02	0.00000000000000e+00	1
55	62	18	25	1.00009421163702e-01	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.61750000000000e+02	6.56226000000000e+00	1.06144000000000e+03	0.00000000000000e+00	1
49	57	17	25	1.00094362768226e-01	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.69495000000000e+01	6.25235000000000e+00	1.05974000000000e+02	0.00000000000000e+00	1
49	56	17	24	1.00116106934487e-01	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.89731000000000e+01	4.53945000000000e+00	8.61275000000000e+01	0.00000000000000e+00	1
49	55	17	23	1.00140074267377e-01	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.18593000000000e+01	3.26591000000000e+00	7.13907000000000e+01	0.00000000000000e+00	1
49	54	17	22	1.00196214627408e-01	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.66457000000000e+01	1.91268000000000e+00	5.09646000000000e+01	0.00000000000000e+00	1
49	53	17	21	1.00361954263459e-01	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.49543000000000e+01	7.90397000000000e-01	2.76278000000000e+01	0.00000000000000e+00	1
49	52	17	20	1.01230811646432e-01	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	5.32543000000000e+01	1.52564000000000e-01	8.12472000000000e+00	0.00000000000000e+00	1
49	51	17	19	1.04210366765049e-01	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	1.03323000000000e+02	2.29870000000000e-02	2.37509000000000e+00	0.00000000000000e+00	1
49	50	17	18	1.30729613206359e-01	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.87304000000000e+02	8.40217000000000e-04	3.25419000000000e-01	0.00000000000000e+00	1
54	62	18	26	1.00025027091827e-01	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	3.98695000000000e+01	1.00219000000000e+01	3.99567000000000e+02	0.00000000000000e+00	1
54	61	18	25	1.00025363908680e-01	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	5.54876000000000e+01	7.10538000000000e+00	3.94261000000000e+02	0.00000000000000e+00	1
54	60	18	24	1.00023365960002e-01	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	9.16461000000000e+01	4.66984000000000e+00	4.27973000000000e+02	0.00000000000000e+00	1
54	59	18	23	1.00016815314043e-01	0.00000000000000e+00	0.00000000000000e+00	0.00000000000000e+00	2.00351000000000e+02	2.96827000000000e+00	5.94696000000000e+02	0.00000000000000e+00	1
